Year,All Categories - Class I-V - Boys,All Categories - Class I-V - Girls,All Categories - Class I-V - Total,All Categories - Class VI-VIII - Boys,All Categories - Class VI-VIII - Girls,All Categories - Class VI-VIII - Total,All Categories - Class IX-X - Boys,All Categories - Class IX-X - Girls,All Categories - Class IX-X - Total,All Categories - Class XI-XII - Boys,All Categories - Class XI-XII - Girls,All Categories - Class XI-XII - Total,Scheduled Caste Category - Class I-V - Boys,Scheduled Caste Category - Class I-V - Girls,Scheduled Caste Category - Class I-V - Total,Scheduled Caste Category - Class VI-VIII - Boys,Scheduled Caste Category - Class VI-VIII - Girls,Scheduled Caste Category - Class VI-VIII - Total,Scheduled Caste Category - Class IX-X - Boys,Scheduled Caste Category - Class IX-X - Girls,Scheduled Caste Category - Class IX-X - Total,Scheduled Caste Category - Class XI-XII - Boys,Scheduled Caste Category - Class XI-XII - Girls,Scheduled Caste Category - Class XI-XII - Total,Scheduled Tribe Category - Class I-V - Boys,Scheduled Tribe Category - Class I-V - Girls,Scheduled Tribe Category - Class I-V - Total,Scheduled Tribe Category - Class VI-VIII - Boys,Scheduled Tribe Category - Class VI-VIII - Girls,Scheduled Tribe Category - Class VI-VIII - Total,Scheduled Tribe Category - Class IX-X - Boys,Scheduled Tribe Category - Class IX-X - Girls,Scheduled Tribe Category - Class IX-X - Total,Scheduled Tribe Category - Class XI-XII - Boys,Scheduled Tribe Category - Class XI-XII - Girls,Scheduled Tribe Category - Class XI-XII - Total
1950-51,13.8,5.4,19.2,2.6,0.5,3.1,NA,NA,0,1.3,0.2,1.5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
1955-56,17.1,7.5,24.6,3.8,1,4.8,NA,NA,0,2.2,0.4,2.6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
1960-61,23.6,11.4,35,5.1,1.6,6.7,NA,NA,0,2.7,0.7,3.4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
1965-66,32.2,18.3,50.5,7.7,2.8,10.5,NA,NA,0,4.4,1.3,5.7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
1970-71,35.7,21.3,57,9.4,3.9,13.3,NA,NA,0,5.7,1.9,7.6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
1975-76,40.6,25,65.6,11,5,16,NA,NA,0,6.5,2.4,8.9,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
1980-81,45.3,28.5,73.8,13.9,6.8,20.7,NA,NA,0,7.6,3.4,11,7.21,3.77,10.98,1.62,0.6,2.22,NA,NA,0,0.91,0.25,1.15,3.13,1.53,4.66,0.54,0.21,0.74,NA,NA,0,0.25,0.08,0.33
1985-86,52.2,35.2,87.4,17.7,9.6,27.3,NA,NA,0,11.5,5,16.5,8.73,5.19,13.92,2.54,1.08,3.62,NA,NA,0,1.38,0.43,1.81,4.17,2.41,6.58,0.89,0.39,1.28,NA,NA,0,0.42,0.17,0.59
1990-91,57,40.4,97.4,21.5,12.5,34,NA,NA,0,12.8,6.3,19.1,9.74,6.06,15.79,2.75,1.41,4.16,NA,NA,0,1.7,0.64,2.34,4.96,2.91,7.87,1.13,0.58,1.71,NA,NA,0,0.57,0.24,0.81
1991-92,58.6,42.3,100.9,22,13.6,35.6,10,5,15,4.2,2,6.2,9.71,6.33,16.04,3.14,1.56,4.69,1.35,0.54,1.88,0.53,0.17,0.7,4.95,3.08,8.03,1.21,0.58,1.79,0.44,0.2,0.64,0.15,0.05,0.2
1992-93,57.9,41.7,99.6,21.2,12.9,34.1,10.3,5.5,15.8,4.7,2.2,7,10.32,7.03,17.35,3.48,1.93,5.41,1.39,0.56,1.95,0.54,0.18,0.72,5.03,3.33,8.37,1.34,0.69,2.03,0.47,0.22,0.69,0.22,0.09,0.31
1993-94,55.1,41.9,97,20.6,13.5,34.1,10.2,5.6,15.8,5.1,2.5,7.6,10.41,7.17,17.58,3.57,2.01,5.58,1.4,0.61,2.01,0.58,0.22,0.79,5.15,3.44,8.6,1.42,0.77,2.19,0.5,0.24,0.74,0.19,0.07,0.26
